"Temperature","Date","Hour"
"72.2","2026-06-28","00:00:00.000Z"
"69.6","2026-06-28","01:00:00.000Z"
"67.3","2026-06-28","02:00:00.000Z"
"63.8","2026-06-28","03:00:00.000Z"
"62.9","2026-06-28","04:00:00.000Z"
"62.2","2026-06-28","05:00:00.000Z"
"62.4","2026-06-28","06:00:00.000Z"
"62.2","2026-06-28","07:00:00.000Z"
"61.7","2026-06-28","08:00:00.000Z"
"61.4","2026-06-28","09:00:00.000Z"
"61.2","2026-06-28","10:00:00.000Z"
"61.1","2026-06-28","11:00:00.000Z"
"61.1","2026-06-28","12:00:00.000Z"
"61.6","2026-06-28","13:00:00.000Z"
"62.7","2026-06-28","14:00:00.000Z"
"63.4","2026-06-28","15:00:00.000Z"
"65.2","2026-06-28","16:00:00.000Z"
"67.3","2026-06-28","17:00:00.000Z"
"66.2","2026-06-28","18:00:00.000Z"
"68.5","2026-06-28","19:00:00.000Z"
"70.6","2026-06-28","20:00:00.000Z"
"71.8","2026-06-28","21:00:00.000Z"
"71.1","2026-06-28","22:00:00.000Z"
"70.3","2026-06-28","23:00:00.000Z"
"69.4","2026-06-29","00:00:00.000Z"
"67.8","2026-06-29","01:00:00.000Z"
"65.3","2026-06-29","02:00:00.000Z"
"62.5","2026-06-29","03:00:00.000Z"
"60.6","2026-06-29","04:00:00.000Z"
"59.5","2026-06-29","05:00:00.000Z"
"58.5","2026-06-29","06:00:00.000Z"
"57.8","2026-06-29","07:00:00.000Z"
"56.8","2026-06-29","08:00:00.000Z"
"57.0","2026-06-29","09:00:00.000Z"
"56.8","2026-06-29","10:00:00.000Z"
"56.4","2026-06-29","11:00:00.000Z"
"58.6","2026-06-29","12:00:00.000Z"
"59.6","2026-06-29","13:00:00.000Z"
"60.9","2026-06-29","14:00:00.000Z"
"59.9","2026-06-29","15:00:00.000Z"
"60.9","2026-06-29","16:00:00.000Z"
"64.2","2026-06-29","17:00:00.000Z"
"68.6","2026-06-29","18:00:00.000Z"
"72.5","2026-06-29","19:00:00.000Z"
"71.7","2026-06-29","20:00:00.000Z"
"71.6","2026-06-29","21:00:00.000Z"
"70.7","2026-06-29","22:00:00.000Z"
"69.6","2026-06-29","23:00:00.000Z"
"68.5","2026-06-30","00:00:00.000Z"
"66.9","2026-06-30","01:00:00.000Z"
"64.4","2026-06-30","02:00:00.000Z"
"61.8","2026-06-30","03:00:00.000Z"
"60.1","2026-06-30","04:00:00.000Z"
"59.1","2026-06-30","05:00:00.000Z"
"58.5","2026-06-30","06:00:00.000Z"
"58.7","2026-06-30","07:00:00.000Z"
"59.1","2026-06-30","08:00:00.000Z"
"59.3","2026-06-30","09:00:00.000Z"
"59.9","2026-06-30","10:00:00.000Z"
"60.1","2026-06-30","11:00:00.000Z"
